venue,year,specific_parent_category,specific_label_cn,count,venue_year_total,share
CHI,2020,HCI,HCI：VR/AR交互与沉浸式体验,180,740,0.2432432432432432
CHI,2020,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,113,740,0.1527027027027027
CHI,2020,Speech / Audio,语音语言：ASR、语音理解与音频建模,112,740,0.1513513513513513
CHI,2020,Other,细分主题：children,90,740,0.1216216216216216
CHI,2020,Dialogue,对话系统：响应生成、情感支持与任务型对话,89,740,0.1202702702702702
CHI,2020,Recommendation,推荐系统：排序、召回与点击率预测,85,740,0.1148648648648648
CHI,2020,Multimodal AI,多模态理解：视觉语言表征与跨模态对齐,71,740,0.0959459459459459
CVPR,2020,3D Vision,三维视觉：点云、深度估计与相机姿态,392,1466,0.2673942701227831
CVPR,2020,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,229,1466,0.1562073669849931
CVPR,2020,Video Understanding,视频理解：动作识别、长视频与时序建模,166,1466,0.1132332878581173
CVPR,2020,AutoML,自动机器学习：神经架构搜索与超参数优化,133,1466,0.0907230559345156
CVPR,2020,Computer Vision,底层视觉：超分、去噪、增强与图像复原,114,1466,0.077762619372442
CVPR,2020,Generative AI,生成模型：文生图、扩散采样与图像编辑,107,1466,0.072987721691678
CVPR,2020,Computer Vision,视觉感知：语义/实例/全景分割,103,1466,0.0702592087312414
CVPR,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,85,1466,0.0579809004092769
CVPR,2020,Human-Centric Generation,人体与头像生成：姿态、表情与数字人合成,79,1466,0.0538881309686221
CVPR,2020,Embodied AI,具身智能：机器人操作、导航与视觉语言动作,58,1466,0.0395634379263301
ECCV,2020,3D Vision,三维视觉：点云、深度估计与相机姿态,351,1358,0.2584683357879234
ECCV,2020,Video Understanding,视频理解：动作识别、长视频与时序建模,310,1358,0.2282768777614138
ECCV,2020,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,183,1358,0.1347569955817378
ECCV,2020,Computer Vision,视觉感知：语义/实例/全景分割,137,1358,0.1008836524300441
ECCV,2020,Human-Centric Generation,人体与头像生成：姿态、表情与数字人合成,116,1358,0.0854197349042709
ECCV,2020,Security / Vision,多媒体安全：Deepfake检测、伪造识别与攻防,84,1358,0.0618556701030927
ECCV,2020,AutoML,自动机器学习：神经架构搜索与超参数优化,76,1358,0.0559646539027982
ECCV,2020,Multimodal LLM,多模态大模型：视觉语言理解与跨模态推理,73,1358,0.0537555228276877
ECCV,2020,Video Understanding,视频理解：长视频、多帧时序与事件理解,28,1358,0.0206185567010309
EMNLP,2020,Computer Vision,开放词汇视觉：开放词汇检测、分割与CLIP语义,113,751,0.1504660452729693
EMNLP,2020,NLP,多语言NLP：机器翻译、跨语言与低资源,113,751,0.1504660452729693
EMNLP,2020,Knowledge Graph,知识图谱：实体关系、推理与补全,90,751,0.1198402130492676
EMNLP,2020,LLM Reasoning,大模型推理：问答、常识与思维链,89,751,0.118508655126498
EMNLP,2020,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,77,751,0.1025299600532623
EMNLP,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,68,751,0.0905459387483355
EMNLP,2020,Reinforcement Learning,强化学习：离线策略、奖励建模与控制,57,751,0.0758988015978695
EMNLP,2020,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,53,751,0.0705725699067909
EMNLP,2020,Text Generation,文本生成：摘要、事实性与可控生成,45,751,0.0599201065246338
EMNLP,2020,Multimodal LLM,多模态大模型：视觉语言理解与跨模态推理,25,751,0.033288948069241
EMNLP,2020,Event Vision,事件视觉：事件相机、运动估计与时序感知,21,751,0.0279627163781624
ICDE,2020,Information Retrieval,信息检索：查询理解、搜索与文档检索,98,232,0.4224137931034483
ICDE,2020,Graph Learning,图学习：图异常检测、聚类与结构表示,47,232,0.2025862068965517
ICDE,2020,Recommendation,推荐系统：图推荐与知识增强推荐,44,232,0.1896551724137931
ICDE,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,22,232,0.0948275862068965
ICDE,2020,Knowledge Graph,知识图谱：实体关系、推理与补全,21,232,0.0905172413793103
ICLR,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,132,687,0.1921397379912663
ICLR,2020,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,110,687,0.1601164483260553
ICLR,2020,Generative AI,生成模型：扩散模型、采样与内容生成,82,687,0.1193595342066957
ICLR,2020,Generative AI,生成模型：视频扩散生成与编辑,79,687,0.1149927219796215
ICLR,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,79,687,0.1149927219796215
ICLR,2020,Robust / Weakly Supervised ML,鲁棒泛化：OOD检测、校准与噪声标签,73,687,0.106259097525473
ICLR,2020,LLM Reasoning,大模型推理：问答、常识与思维链,68,687,0.098981077147016
ICLR,2020,AutoML,自动机器学习：神经架构搜索与超参数优化,64,687,0.0931586608442503
ICML,2020,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,210,1084,0.1937269372693727
ICML,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,178,1084,0.1642066420664206
ICML,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,136,1084,0.1254612546125461
ICML,2020,Optimization,优化理论：随机/非凸优化与收敛率,131,1084,0.1208487084870848
ICML,2020,Graph Learning,图学习：图聚类、表示学习与结构匹配,98,1084,0.0904059040590405
ICML,2020,3D Vision,三维视觉：Gaussian Splatting、新视角合成与重建,96,1084,0.088560885608856
ICML,2020,Generative AI,生成模型：扩散模型、采样与内容生成,93,1084,0.0857933579335793
ICML,2020,Efficient LLMs,高效大模型：推理加速、压缩与资源优化,77,1084,0.0710332103321033
ICML,2020,Reinforcement Learning,在线决策：Bandit、后悔界与探索,65,1084,0.0599630996309963
ICRA,2020,Embodied AI,具身智能：机器人操作、导航与视觉语言动作,300,1067,0.2811621368322399
ICRA,2020,3D Vision,三维视觉：点云、深度估计与相机姿态,233,1067,0.218369259606373
ICRA,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,221,1067,0.2071227741330834
ICRA,2020,Agents / Game Theory,多智能体：机制设计、拍卖与资源分配,131,1067,0.1227741330834114
ICRA,2020,Computer Vision,视觉感知：语义/实例/全景分割,92,1067,0.0862230552952202
ICRA,2020,Optimization,优化理论：梯度方法、收敛性与训练动力学,90,1067,0.0843486410496719
IJCAI,2020,Generative AI,生成模型：扩散模型、采样与内容生成,113,778,0.1452442159383033
IJCAI,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,107,778,0.1375321336760925
IJCAI,2020,Video Understanding,视频理解：动作识别、长视频与时序建模,94,778,0.1208226221079691
IJCAI,2020,LLM Reasoning,大模型推理：问答、常识与思维链,92,778,0.1182519280205655
IJCAI,2020,Optimization,优化理论：梯度方法、收敛性与训练动力学,88,778,0.1131105398457583
IJCAI,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,88,778,0.1131105398457583
IJCAI,2020,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,82,778,0.1053984575835475
IJCAI,2020,Graph Learning,图学习：GNN、节点分类与链接预测,58,778,0.0745501285347043
IJCAI,2020,Reinforcement Learning,多智能体强化学习：博弈、协作与策略学习,30,778,0.0385604113110539
IJCAI,2020,Recommendation,推荐系统：排序、召回与点击率预测,26,778,0.0334190231362467
IROS,2020,Embodied AI,具身智能：机器人操作、导航与视觉语言动作,625,1115,0.5605381165919282
IROS,2020,Autonomous Driving,自动驾驶感知：LiDAR、轨迹与三维检测,219,1115,0.1964125560538116
IROS,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,97,1115,0.0869955156950672
IROS,2020,Probabilistic ML,概率机器学习：变分推断、不确定性与后验建模,73,1115,0.0654708520179372
IROS,2020,Spatiotemporal ML,时空数据挖掘：轨迹预测、交通建模与道路网络,54,1115,0.0484304932735426
IROS,2020,Human-Centric Vision,人体理解：姿态、手部与人体运动建模,47,1115,0.042152466367713
KDD,2020,Graph Learning,图学习：图聚类、表示学习与结构匹配,47,217,0.216589861751152
KDD,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,43,217,0.1981566820276497
KDD,2020,Graph Foundation Models,图基础模型：LLM增强图学习与节点表示,40,217,0.184331797235023
KDD,2020,Recommendation,推荐系统：排序、召回与点击率预测,33,217,0.152073732718894
KDD,2020,Time Series,时序建模：时间序列预测、动力系统与基础模型,30,217,0.1382488479262673
KDD,2020,Robust / Weakly Supervised ML,鲁棒泛化：OOD检测、校准与噪声标签,24,217,0.1105990783410138
MICCAI,2020,AI for Health,医疗视觉：医学影像分割、病理与临床影像,36,80,0.45
MICCAI,2020,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,25,80,0.3125
MICCAI,2020,Computer Vision,视觉感知：语义/实例/全景分割,10,80,0.125
MICCAI,2020,Computer Vision,视觉感知：目标检测、定位与分割,9,80,0.1125
NeurIPS,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,276,1898,0.1454162276080084
NeurIPS,2020,ML Theory,统计学习理论：泛化界、风险分析与样本复杂度,222,1898,0.1169652265542676
NeurIPS,2020,Optimization,优化理论：梯度方法、收敛性与训练动力学,217,1898,0.1143308746048472
NeurIPS,2020,Generative AI,生成模型：文生图、扩散采样与图像编辑,201,1898,0.1059009483667017
NeurIPS,2020,Computer Vision,视觉感知：目标检测、识别与视觉表征,169,1898,0.0890410958904109
NeurIPS,2020,Optimization,优化理论：随机/非凸优化与收敛率,124,1898,0.0653319283456269
NeurIPS,2020,AI for Science,AI4Science：分子生成、药物发现与化学建模,118,1898,0.0621707060063224
NeurIPS,2020,Reinforcement Learning,在线决策：Bandit、后悔界与探索,118,1898,0.0621707060063224
NeurIPS,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,108,1898,0.0569020021074815
NeurIPS,2020,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,101,1898,0.0532139093782929
NeurIPS,2020,AI for Neuroscience,神经科学AI：脑活动建模、EEG与脉冲网络,89,1898,0.0468914646996838
NeurIPS,2020,Code Intelligence,代码智能：程序分析、软件工程与代码检索,84,1898,0.0442571127502634
NeurIPS,2020,Causal ML,因果学习：因果发现、反事实与处理效应,71,1898,0.0374077976817702
RSS,2020,Embodied AI,具身智能：机器人操作、导航与视觉语言动作,72,98,0.7346938775510204
RSS,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,26,98,0.2653061224489796
SIGIR,2020,Recommendation,推荐系统：排序、召回与点击率预测,63,147,0.4285714285714285
SIGIR,2020,Information Retrieval,信息检索：搜索排序、文档检索与重排,43,147,0.2925170068027211
SIGIR,2020,Recommendation,推荐系统：偏好建模、反馈学习与个性化排序,41,147,0.2789115646258503
SIGMOD,2020,ML Theory,理论机器学习：核方法、NTK与泛化分析,48,159,0.3018867924528302
SIGMOD,2020,Information Retrieval,信息检索：查询理解、搜索与文档检索,42,159,0.2641509433962264
SIGMOD,2020,Graph Learning,图学习：GNN、节点分类与链接预测,30,159,0.1886792452830188
SIGMOD,2020,3D Vision,三维视觉：Gaussian Splatting、新视角合成与重建,23,159,0.1446540880503144
SIGMOD,2020,Computer Vision,视觉感知：目标检测、识别与视觉表征,16,159,0.10062893081761
WWW,2020,Recommendation,推荐系统：排序、召回与点击率预测,99,317,0.3123028391167192
WWW,2020,LLM Reasoning,大模型推理：问答、常识与思维链,81,317,0.2555205047318612
WWW,2020,Graph Learning,图学习：图聚类、表示学习与结构匹配,62,317,0.195583596214511
WWW,2020,Recommendation,推荐系统：偏好建模、反馈学习与个性化排序,59,317,0.1861198738170347
WWW,2020,Trustworthy NLP,社会计算与安全NLP：偏见、仇恨与立场检测,16,317,0.0504731861198738
AAAI,2021,Computer Vision,视觉感知：语义/实例/全景分割,316,1642,0.1924482338611449
AAAI,2021,Generative AI,生成模型：扩散模型、采样与内容生成,308,1642,0.1875761266747868
AAAI,2021,Probabilistic ML,概率机器学习：变分推断、不确定性与后验建模,239,1642,0.1455542021924482
AAAI,2021,Reinforcement Learning,在线决策：Bandit、后悔界与探索,193,1642,0.1175395858708891
AAAI,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,132,1642,0.0803897685749086
AAAI,2021,Robust / Weakly Supervised ML,鲁棒泛化：OOD检测、校准与噪声标签,110,1642,0.0669914738124238
AAAI,2021,Graph Learning,图学习：图聚类、表示学习与结构匹配,109,1642,0.0663824604141291
AAAI,2021,Time Series,时序建模：时间序列预测、动力系统与基础模型,100,1642,0.0609013398294762
AAAI,2021,Optimization,优化理论：随机/非凸优化与收敛率,97,1642,0.0590742996345919
AAAI,2021,Recommendation,推荐系统：排序、召回与点击率预测,38,1642,0.0231425091352009
ACL,2021,NLP,多语言NLP：机器翻译、跨语言与低资源,199,710,0.2802816901408451
ACL,2021,Information Extraction,知识抽取：实体识别、关系抽取与事件理解,81,710,0.1140845070422535
ACL,2021,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,79,710,0.1112676056338028
ACL,2021,LLM,大模型训练：微调、数据配方与任务适配,78,710,0.1098591549295774
ACL,2021,Text Generation,文本生成：摘要、事实性与可控生成,73,710,0.1028169014084507
ACL,2021,Dialogue,对话系统：响应生成、情感支持与任务型对话,59,710,0.0830985915492957
ACL,2021,Multimodal AI,多模态理解：视觉语言表征与跨模态对齐,36,710,0.0507042253521126
ACL,2021,Recommendation,推荐系统：排序、召回与点击率预测,33,710,0.0464788732394366
ACL,2021,Event Vision,事件视觉：事件相机、运动估计与时序感知,27,710,0.0380281690140845
ACL,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,24,710,0.0338028169014084
ACL,2021,ML Theory,统计学习理论：决策树、风险界与泛化分析,21,710,0.0295774647887323
ACMMM,2021,Multimodal LLM,多模态大模型：视觉语言理解与跨模态推理,80,542,0.1476014760147601
ACMMM,2021,Computer Vision,底层视觉：超分、去噪、增强与图像复原,78,542,0.1439114391143911
ACMMM,2021,3D Vision,三维视觉：点云、深度估计与相机姿态,61,542,0.1125461254612546
ACMMM,2021,Video Understanding,视频理解：动作识别、长视频与时序建模,59,542,0.1088560885608856
ACMMM,2021,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,55,542,0.1014760147601476
ACMMM,2021,Recommendation,推荐系统：排序、召回与点击率预测,52,542,0.0959409594095941
ACMMM,2021,Computer Vision,视觉感知：目标检测、识别与视觉表征,51,542,0.0940959409594096
ACMMM,2021,Multimedia Retrieval,多媒体检索：跨模态检索、语义匹配与内容理解,45,542,0.0830258302583025
ACMMM,2021,Security / Vision,多媒体安全：Deepfake检测、伪造识别与攻防,36,542,0.066420664206642
ACMMM,2021,Graph Learning,图学习：GNN、节点分类与链接预测,25,542,0.0461254612546125
CVPR,2021,3D Vision,三维视觉：点云、深度估计与相机姿态,457,1660,0.2753012048192771
CVPR,2021,Computer Vision,视觉感知：语义/实例/全景分割,202,1660,0.1216867469879518
CVPR,2021,Robust / Weakly Supervised ML,鲁棒泛化：OOD检测、校准与噪声标签,156,1660,0.0939759036144578
CVPR,2021,Video Understanding,视频理解：动作识别、长视频与时序建模,145,1660,0.0873493975903614
CVPR,2021,Computer Vision,底层视觉：超分、去噪、增强与图像复原,131,1660,0.0789156626506024
CVPR,2021,Generative AI,生成模型：文生图、扩散采样与图像编辑,124,1660,0.0746987951807229
CVPR,2021,Multimodal LLM,多模态大模型：视觉语言理解与跨模态推理,118,1660,0.0710843373493975
CVPR,2021,Security / Vision,多媒体安全：Deepfake检测、伪造识别与攻防,96,1660,0.0578313253012048
CVPR,2021,Graph Learning,图学习：GNN、节点分类与链接预测,95,1660,0.0572289156626506
CVPR,2021,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,95,1660,0.0572289156626506
CVPR,2021,Computer Vision,视觉感知：目标检测、识别与视觉表征,41,1660,0.0246987951807228
EMNLP,2021,Information Retrieval,信息检索：密集检索、向量召回与表示学习,117,847,0.1381345926800472
EMNLP,2021,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,108,847,0.127508854781582
EMNLP,2021,NLP,多语言NLP：机器翻译、跨语言与低资源,98,847,0.1157024793388429
EMNLP,2021,Knowledge Graph,知识图谱：实体关系、推理与补全,91,847,0.1074380165289256
EMNLP,2021,Dialogue,对话系统：响应生成、情感支持与任务型对话,81,847,0.0956316410861865
EMNLP,2021,LLM Evaluation,大模型评测：人类偏好、任务指标与领域评估,67,847,0.0791027154663518
EMNLP,2021,Code Intelligence,代码大模型：代码生成、程序理解与评测,63,847,0.0743801652892562
EMNLP,2021,Robust / Transfer Learning,迁移泛化：小样本、类增量与域泛化,60,847,0.0708382526564344
EMNLP,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,41,847,0.0484061393152302
EMNLP,2021,Efficient LLMs,高效大模型：推理加速、压缩与资源优化,36,847,0.0425029515938606
EMNLP,2021,Event Vision,事件视觉：事件相机、运动估计与时序感知,30,847,0.0354191263282172
EMNLP,2021,Multimodal LLM,多模态大模型：视觉语言理解与跨模态推理,29,847,0.0342384887839433
EMNLP,2021,Text Generation,文本生成：摘要、事实性与可控生成,26,847,0.0306965761511216
ICCV,2021,3D Vision,三维视觉：点云、深度估计与相机姿态,387,1612,0.2400744416873449
ICCV,2021,Video Understanding,视频理解：动作识别、长视频与时序建模,364,1612,0.2258064516129032
ICCV,2021,Computer Vision,视觉感知：语义/实例/全景分割,136,1612,0.0843672456575682
ICCV,2021,Robust / Transfer Learning,迁移泛化：小样本、类增量与域泛化,131,1612,0.0812655086848635
ICCV,2021,Multimodal LLM,多模态大模型：视觉语言理解与跨模态推理,113,1612,0.0700992555831265
ICCV,2021,Human-Centric Generation,人体与头像生成：姿态、表情与数字人合成,87,1612,0.053970223325062
ICCV,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,80,1612,0.0496277915632754
ICCV,2021,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,73,1612,0.0452853598014888
ICCV,2021,Computer Vision,视觉感知：目标检测、识别与视觉表征,65,1612,0.0403225806451612
ICCV,2021,Embodied AI,具身智能：机器人操作、导航与视觉语言动作,65,1612,0.0403225806451612
ICCV,2021,Computer Vision,视觉感知：目标检测、定位与分割,56,1612,0.0347394540942928
ICCV,2021,AutoML,自动机器学习：神经架构搜索与超参数优化,55,1612,0.0341191066997518
ICDE,2021,Federated Learning,联邦学习：异构客户端、隐私与分布式优化,64,274,0.2335766423357664
ICDE,2021,Knowledge Graph,知识图谱：实体关系、推理与补全,52,274,0.1897810218978102
ICDE,2021,Embodied AI,具身智能：机器人操作、导航与视觉语言动作,38,274,0.1386861313868613
ICDE,2021,Graph Learning,图学习：图聚类、表示学习与结构匹配,38,274,0.1386861313868613
ICDE,2021,Time Series,时序建模：时间序列预测、动力系统与基础模型,36,274,0.1313868613138686
ICDE,2021,Graph Learning,图学习：图异常检测、聚类与结构表示,31,274,0.1131386861313868
ICDE,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,15,274,0.0547445255474452
ICLR,2021,Reinforcement Learning,强化学习：离线策略、奖励建模与控制,159,859,0.1850989522700815
ICLR,2021,Computer Vision,视觉感知：目标检测、识别与视觉表征,97,859,0.1129220023282887
ICLR,2021,AI for Science,科学计算：神经算子、PDE与物理建模,94,859,0.109429569266589
ICLR,2021,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,89,859,0.1036088474970896
ICLR,2021,Generative AI,生成模型：文生图、扩散采样与图像编辑,88,859,0.1024447031431897
ICLR,2021,Robust / Weakly Supervised ML,鲁棒泛化：OOD检测、校准与噪声标签,74,859,0.0861466821885913
ICLR,2021,Probabilistic ML,概率机器学习：变分推断、不确定性与后验建模,73,859,0.0849825378346915
ICLR,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,72,859,0.0838183934807916
ICLR,2021,AI for Science,AI4Science：分子生成、药物发现与化学建模,57,859,0.0663562281722933
ICLR,2021,AutoML,自动机器学习：神经架构搜索与超参数优化,56,859,0.0651920838183934
ICML,2021,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,232,1183,0.1961115807269653
ICML,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,166,1183,0.1403212172442941
ICML,2021,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,163,1183,0.1377852916314454
ICML,2021,Optimization,优化理论：梯度方法、收敛性与训练动力学,137,1183,0.1158072696534235
ICML,2021,3D Generation,生成模型：三维生成、新视角与Gaussian Splatting,110,1183,0.0929839391377852
ICML,2021,Reinforcement Learning,在线决策：Bandit、后悔界与探索,96,1183,0.081149619611158
ICML,2021,ML Theory,理论机器学习：核方法、NTK与泛化分析,82,1183,0.0693153000845308
ICML,2021,Efficient LLMs,联邦大模型微调：LoRA、客户端异构与模型合并,81,1183,0.0684699915469146
ICML,2021,Graph Learning,图学习：GNN、节点分类与链接预测,69,1183,0.0583262890955198
ICML,2021,3D Vision,三维视觉：点云、深度估计与相机姿态,47,1183,0.0397295012679628
ICRA,2021,Embodied AI,具身智能：机器人操作、导航与视觉语言动作,745,1370,0.5437956204379562
ICRA,2021,Autonomous Driving,自动驾驶感知：LiDAR、轨迹与三维检测,192,1370,0.1401459854014598
ICRA,2021,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,185,1370,0.1350364963503649
ICRA,2021,3D Vision,三维视觉：点云、深度估计与相机姿态,135,1370,0.0985401459854014
ICRA,2021,Other,细分主题：quadrotor,64,1370,0.0467153284671532
ICRA,2021,AI for Science,科学计算：神经算子、PDE与物理建模,49,1370,0.0357664233576642
IJCAI,2021,Computer Vision,视觉感知：目标检测、识别与视觉表征,154,722,0.2132963988919667
IJCAI,2021,Graph Learning,图学习：GNN、节点分类与链接预测,146,722,0.2022160664819944
IJCAI,2021,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,114,722,0.1578947368421052
IJCAI,2021,LLM Reasoning,大模型推理：问答、常识与思维链,83,722,0.1149584487534626
IJCAI,2021,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,76,722,0.1052631578947368
IJCAI,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,75,722,0.1038781163434903
IJCAI,2021,Optimization,优化理论：随机/非凸优化与收敛率,44,722,0.0609418282548476
IJCAI,2021,Recommendation,推荐系统：排序、召回与点击率预测,30,722,0.0415512465373961
IROS,2021,Embodied AI,具身智能：机器人操作、导航与视觉语言动作,445,1018,0.43713163064833
IROS,2021,Computer Vision,视觉感知：语义/实例/全景分割,255,1018,0.2504911591355599
IROS,2021,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,212,1018,0.2082514734774067
IROS,2021,Computer Vision,视觉感知：目标检测、定位与分割,57,1018,0.055992141453831
IROS,2021,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,49,1018,0.0481335952848723
KDD,2021,Graph Learning,图学习：GNN、节点分类与链接预测,59,239,0.2468619246861924
KDD,2021,Causal ML,因果学习：因果发现、反事实与处理效应,41,239,0.1715481171548117
KDD,2021,Robust / Weakly Supervised ML,鲁棒泛化：OOD检测、校准与噪声标签,37,239,0.1548117154811715
KDD,2021,Optimization,优化理论：梯度方法、收敛性与训练动力学,27,239,0.1129707112970711
KDD,2021,Recommendation,推荐系统：排序、召回与点击率预测,25,239,0.104602510460251
KDD,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,25,239,0.104602510460251
KDD,2021,Time Series,时序建模：时间序列预测、动力系统与基础模型,25,239,0.104602510460251
MICCAI,2021,AI for Health,医疗视觉：医学影像分割、病理与临床影像,41,68,0.6029411764705882
MICCAI,2021,Computer Vision,视觉感知：语义/实例/全景分割,17,68,0.25
MICCAI,2021,3D Vision,三维视觉：点云、深度估计与相机姿态,10,68,0.1470588235294117
NAACL,2021,NLP,多语言NLP：机器翻译、跨语言与低资源,60,477,0.1257861635220125
NAACL,2021,Knowledge Graph,知识图谱：实体关系、推理与补全,56,477,0.1174004192872117
NAACL,2021,Efficient LLMs,高效大模型：推理加速、压缩与资源优化,52,477,0.1090146750524109
NAACL,2021,Other,细分主题：language,50,477,0.1048218029350104
NAACL,2021,LLM Reasoning,大模型推理：问答、常识与思维链,49,477,0.1027253668763102
NAACL,2021,Generative AI,生成模型：扩散模型、采样与内容生成,46,477,0.0964360587002096
NAACL,2021,Speech / Audio,语音音频：ASR、说话人与音频理解,42,477,0.0880503144654088
NAACL,2021,Dialogue,对话系统：响应生成、情感支持与任务型对话,38,477,0.0796645702306079
NAACL,2021,Computer Vision,开放词汇视觉：开放词汇检测、分割与CLIP语义,33,477,0.0691823899371069
